# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/s2_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam
ENSG00000258930	chr14	71031686	71031970	-	285	0	0	0	0	0	0	0	0	0
GTF3AP2	chr14	71044375	71044640	-	266	0	0	0	0	0	0	0	0	0
PTTG4P	chr14	71085482	71085833	-	352	0	0	0	0	0	0	0	0	0
ENSG00000269927	chr14	71141125	71143253	-	2129	0	0	0	0	0	0	0	0	0
ENSG00000286423	chr14	71179053	71243841	-	64789	1	1	0	0	0	4	0	0	5
ENSG00000259907	chr14	71181456	71182106	+	651	0	0	0	0	0	0	0	0	0
ENSG00000258517	chr14	71212633	71218216	+	5584	0	0	0	0	0	3	0	1	0
ENSG00000269945	chr14	71219100	71222724	+	3625	0	1	1	2	0	1	4	0	0
SIPA1L1-AS1	chr14	71292729	71321882	-	29154	15	5	11	6	14	16	17	14	10
SIPA1L1	chr14	71320449	71741229	+	420781	4074	3795	3966	3874	3832	3930	4090	4008	4033
ENSG00000259079	chr14	71330342	71330738	-	397	0	0	1	0	0	0	0	0	0
SNORD56B	chr14	71398337	71398407	+	71	0	0	0	0	0	0	0	0	0
RN7SL683P	chr14	71448689	71448958	+	270	0	0	0	0	0	0	0	0	0
ENSG00000285612	chr14	71586269	71590354	-	4086	7	10	11	3	5	10	11	10	14
ENSG00000285518	chr14	71734927	71739794	-	4868	0	0	2	0	0	0	0	1	2
ENSG00000266869	chr14	71848606	71928596	+	79991	14	14	10	11	16	16	25	20	27
RGS6	chr14	71932429	72566530	+	634102	27	21	9	18	22	17	25	14	27
ENSG00000286333	chr14	72515407	72544622	-	29216	0	2	0	0	1	2	2	1	0
MIR7843	chr14	72516820	72516898	+	79	0	0	0	0	0	0	0	0	0
ENSG00000258871	chr14	72552580	72595125	-	42546	0	0	0	0	0	3	2	0	0
DPF3	chr14	72609034	72894101	-	285068	6	7	0	8	3	6	3	5	2
ENSG00000285936	chr14	72701762	72704280	+	2519	0	0	0	0	0	0	0	0	0
DCAF4	chr14	72926377	72959703	+	33327	494	487	470	497	610	499	489	484	507
RPL36P3	chr14	72929612	72929930	-	319	0	0	0	0	0	0	0	0	0
ENSG00000259015	chr14	72960595	72961993	+	1399	6	4	3	9	14	3	8	3	12
ENSG00000239544	chr14	72963645	72964008	-	364	0	0	0	0	0	0	0	0	0
ZFYVE1	chr14	72969451	73027131	-	57681	664	590	573	577	602	602	565	646	549
RN7SL586P	chr14	73040619	73040914	-	296	0	0	0	0	0	0	0	0	0
RBM25-AS1	chr14	73057925	73059415	-	1491	4	9	10	13	11	18	6	15	11
RBM25	chr14	73058532	73123899	+	65368	5829	5879	6168	5779	6150	5972	5949	5822	5712
ENSG00000258448	chr14	73068108	73068618	-	511	0	0	0	0	0	0	0	0	0
PSEN1	chr14	73136418	73223691	+	87274	2318	2151	2104	2089	2144	2101	2140	2046	2007
ENSG00000259109	chr14	73189763	73190004	+	242	0	0	0	0	0	0	0	0	0
PAPLN	chr14	73237497	73274640	+	37144	334	225	265	194	213	223	204	249	204
PAPLN-AS1	chr14	73242651	73245979	-	3329	48	54	55	36	73	70	54	38	41
RNU6-419P	chr14	73246818	73246880	-	63	0	0	0	0	0	0	0	0	0
ENSG00000258944	chr14	73272182	73274081	-	1900	14	9	24	6	6	9	4	9	16
NUMB	chr14	73275107	73458617	-	183511	1296	1395	1494	1465	1435	1401	1582	1429	1318
ENSG00000285006	chr14	73366897	73463642	-	96746	0	0	0	0	0	0	0	0	0
ENSG00000284930	chr14	73458850	73466167	-	7318	0	0	0	0	0	0	0	0	0
ENSG00000251393	chr14	73462362	73478563	+	16202	0	0	0	0	0	0	0	2	0
HEATR4	chr14	73478484	73558947	-	80464	16	15	28	13	29	26	31	13	27
RIOX1	chr14	73490933	73493394	+	2462	1169	1081	1194	1153	1178	1076	1160	1166	1166
ENSG00000258443	chr14	73517233	73520648	-	3416	0	0	0	0	0	0	0	0	0
ENSG00000258695	chr14	73522878	73530610	+	7733	2	6	2	3	5	3	5	3	11
ACOT1	chr14	73537143	73543796	+	6654	130	93	101	81	98	87	111	126	96
NT5CP2	chr14	73539221	73539781	-	561	0	0	0	0	0	0	0	0	0
ENSG00000258603	chr14	73555115	73634436	-	79322	180	164	151	159	155	162	181	157	156
ACOT2	chr14	73567620	73575658	+	8039	269	261	252	239	286	299	296	261	261
NT5CP1	chr14	73571159	73571667	-	509	0	0	0	0	0	0	0	0	0
ENSG00000279026	chr14	73580694	73582918	+	2225	5	0	5	4	9	5	4	7	7
ACOT4	chr14	73591873	73595766	+	3894	14	24	10	9	1	21	11	16	19
ENSG00000288797	chr14	73592139	73595766	+	3628	0	0	0	0	0	0	0	0	0
ACOT6	chr14	73610945	73619888	+	8944	1	1	0	0	5	0	0	2	4
NDUFB8P1	chr14	73631475	73632019	+	545	0	0	0	0	0	0	0	0	0
DNAL1	chr14	73644875	73703732	+	58858	547	624	562	515	594	553	548	518	582
RNU6-240P	chr14	73659564	73659660	-	97	0	0	0	0	0	0	0	0	0
ENSG00000258660	chr14	73698103	73700351	-	2249	2	0	0	2	1	0	0	0	2
PNMA1	chr14	73711783	73714384	-	2602	3050	2875	2847	2945	2817	2787	2997	2947	2990
MIDEAS	chr14	73715122	73790285	-	75164	452	463	420	457	518	398	537	453	534
MIR4505	chr14	73758747	73758819	+	73	0	0	0	0	0	0	0	0	0
MIDEAS-AS1	chr14	73787355	73803300	+	15946	5	2	5	7	3	5	7	3	4
LINC02274	chr14	73822559	73830135	-	7577	0	0	0	0	0	0	0	0	0
ENSG00000270576	chr14	73840520	73840609	-	90	6	5	6	8	3	4	5	3	3
PTGR2	chr14	73851831	73885726	+	33896	46	38	62	49	64	61	53	45	66
ENSG00000258653	chr14	73851971	73932278	+	80308	4	2	6	1	6	3	3	5	5
ENSG00000273711	chr14	73873689	73885555	-	11867	33	18	27	18	24	21	20	24	29
ZNF410	chr14	73886617	73932521	+	45905	2	0	1	0	0	0	0	0	0
ENSG00000258891	chr14	73896164	73938114	-	41951	2	0	0	0	3	2	1	5	0
ENSG00000270140	chr14	73905267	73905636	+	370	0	0	0	0	0	0	0	0	0
FAM161B	chr14	73931501	73950414	-	18914	3	5	6	9	6	12	9	10	15
COQ6	chr14	73949926	73963670	+	13745	200	170	162	142	139	156	165	151	181
ENTPD5	chr14	73958010	74019399	-	61390	230	206	178	180	213	136	187	198	220
ENSG00000279461	chr14	74003396	74003470	+	75	0	0	0	0	0	0	0	0	0
BBOF1	chr14	74019349	74082863	+	63515	25	22	23	27	32	24	23	27	29
ALDH6A1	chr14	74056847	74084492	-	27646	1072	1083	1025	995	984	843	1176	987	1124
LIN52	chr14	74084956	74201493	+	116538	434	389	424	430	372	395	432	421	423
RN7SL530P	chr14	74174456	74174753	+	298	0	0	0	0	0	0	0	0	0
ENSG00000258513	chr14	74192589	74192823	+	235	0	0	0	0	0	0	0	0	0
VSX2	chr14	74239449	74262738	+	23290	16	14	1	13	11	5	6	3	13
ABCD4	chr14	74285269	74303055	-	17787	1044	939	980	943	966	962	956	911	932
ENSG00000258559	chr14	74289127	74294425	-	5299	0	0	0	0	0	0	0	0	0
VRTN	chr14	74303069	74360008	+	56940	7958	7892	8333	8129	8454	8184	8544	8379	8183
SUB1P2	chr14	74305425	74306527	+	1103	0	0	0	0	0	0	0	0	0
RPS2P2	chr14	74377818	74378418	-	601	0	0	0	0	0	0	0	0	0
SYNDIG1L	chr14	74405894	74426210	-	20317	118	97	192	178	99	139	162	113	128
ENSG00000270000	chr14	74471930	74472360	-	431	1	3	6	3	3	6	2	3	1
ENSG00000259005	chr14	74474007	74474864	-	858	7	5	6	7	3	9	7	4	4
NPC2	chr14	74476192	74494177	-	17986	2405	2131	2331	2213	2282	2243	2360	2293	2256
MIR4709	chr14	74480133	74480204	-	72	0	0	0	0	0	0	0	0	0
RAP1AP	chr14	74482985	74483435	+	451	0	0	0	0	0	1	0	0	0
ISCA2	chr14	74493756	74497106	+	3351	1103	935	1132	956	997	916	1107	969	1082
LTBP2	chr14	74498183	74612378	-	114196	37	40	33	36	25	29	46	42	35
ENSG00000258425	chr14	74552181	74560048	+	7868	0	0	0	0	0	0	0	0	0
ENSG00000258976	chr14	74614693	74616647	-	1955	3	2	0	0	1	1	0	0	1
AREL1	chr14	74653437	74713117	-	59681	1710	1753	1759	1513	1587	1612	1759	1664	1651
ENSG00000258439	chr14	74658049	74658590	+	542	0	0	0	0	0	0	0	0	0
ENSG00000222604	chr14	74711936	74712045	+	110	0	0	0	0	0	0	0	0	0
FCF1	chr14	74713144	74738620	+	25477	3148	2891	2866	2971	3328	3137	3247	2996	2808
YLPM1	chr14	74763316	74859435	+	96120	5420	5112	5184	4990	5347	5055	5252	5456	5384
PROX2	chr14	74852871	74876154	-	23284	2	0	4	4	0	4	4	1	2
ENSG00000258587	chr14	74873684	74874254	+	571	0	0	0	0	0	0	0	0	0
DLST	chr14	74881891	74903743	+	21853	5014	4569	4958	4789	4643	4910	4884	4696	4654
RPS6KL1	chr14	74903951	74923302	-	19352	203	240	223	193	172	138	185	219	217
PGF	chr14	74941834	74955626	-	13793	59	57	88	64	83	57	70	78	90
EIF2B2	chr14	75002921	75012366	+	9446	1115	1080	1048	1141	1133	1201	1155	1082	1056
ENSG00000258646	chr14	75004719	75008481	-	3763	2	2	4	0	2	0	1	1	0
ENSG00000279594	chr14	75011269	75012851	-	1583	2	1	1	0	0	2	2	3	0
MLH3	chr14	75013769	75051532	-	37764	528	507	590	485	539	531	594	532	496
RNU6-689P	chr14	75020761	75020867	+	107	0	0	0	0	0	0	0	0	0
ACYP1	chr14	75053237	75069483	-	16247	159	226	177	188	181	205	220	168	187
ZC2HC1C	chr14	75064109	75119502	+	55394	64	70	84	65	66	56	42	79	69
NEK9	chr14	75079353	75127344	-	47992	2456	2221	2514	2231	2114	2145	2384	2363	2188
HIF1AP1	chr14	75116426	75116600	-	175	0	0	0	0	0	0	0	0	0
ENSG00000259138	chr14	75127153	75136930	+	9778	43	50	39	31	24	28	45	43	41
TMED10	chr14	75131469	75176612	-	45144	8070	7841	8328	8030	7928	7500	8556	8228	7850
ENSG00000273565	chr14	75176220	75177418	+	1199	0	1	1	0	4	0	0	2	3
RNU4ATAC14P	chr14	75202081	75202169	-	89	0	0	0	0	0	0	0	0	0
ENSG00000258740	chr14	75238616	75269283	-	30668	2	1	1	3	0	0	0	2	5
ENSG00000289340	chr14	75257620	75258971	-	1352	0	0	0	0	0	0	0	0	0
ENSG00000258820	chr14	75259411	75271950	+	12540	0	0	0	0	0	0	0	0	0
FOS	chr14	75278826	75282230	+	3405	145	152	115	141	108	177	150	122	151
DPPA5P4	chr14	75292131	75292495	-	365	0	0	0	0	0	0	0	0	2
LINC01220	chr14	75294404	75298109	+	3706	4	0	3	1	1	1	6	5	3
ENSG00000289844	chr14	75335955	75341366	+	5412	0	0	0	0	0	0	0	0	0
JDP2-AS1	chr14	75423683	75427741	-	4059	23	15	18	18	11	23	17	25	28
ENSG00000289918	chr14	75426943	75427476	+	534	0	0	1	0	0	0	0	0	0
JDP2	chr14	75427716	75474111	+	46396	325	322	342	402	339	416	446	401	471
BATF	chr14	75522455	75546993	+	24539	0	0	0	2	3	0	0	0	0
FLVCR2-AS1	chr14	75574888	75579652	-	4765	0	1	0	0	0	0	1	0	0
FLVCR2	chr14	75578620	75663214	+	84595	77	66	54	68	59	39	77	71	55
ENSG00000242951	chr14	75595805	75596206	-	402	0	0	1	1	0	0	0	0	0
RNA5SP387	chr14	75604173	75604278	+	106	0	0	0	0	0	0	0	0	0
ENSG00000280494	chr14	75604209	75604261	+	53	0	0	0	0	0	0	0	0	0
TTLL5	chr14	75633625	75955079	+	321455	1454	1429	1295	1405	1417	1435	1329	1479	1350
ERG28	chr14	75649791	75660876	-	11086	4573	3507	3262	3233	3963	4198	3018	3579	3039
ENSG00000259103	chr14	75814502	75847698	-	33197	0	1	0	0	1	0	0	0	0
ENSG00000242488	chr14	75838157	75839114	-	958	0	0	0	0	0	0	0	0	0
IFT43	chr14	75902136	76084585	+	182450	304	286	290	254	275	301	343	288	303
TGFB3	chr14	75958097	75983011	-	24915	19	17	13	16	18	23	12	26	20
TGFB3-AS1	chr14	75970924	75971587	+	664	0	0	0	0	0	0	0	0	0
ENSG00000258578	chr14	76013679	76014143	+	465	0	0	0	0	0	0	0	0	0
ENSG00000283629	chr14	76131707	76152627	-	20921	0	0	0	0	0	0	1	0	0
GPATCH2L	chr14	76151916	76254342	+	102427	2087	1865	1917	1825	1963	1864	1913	1921	2040
ENSG00000258454	chr14	76235817	76263474	+	27658	14	16	5	1	14	5	7	7	19
ENSG00000280078	chr14	76279173	76283103	+	3931	0	0	0	0	0	0	1	0	0
ENSG00000258402	chr14	76280943	76310066	-	29124	1	0	1	0	0	0	3	2	1
ESRRB	chr14	76310712	76501837	+	191126	25	43	29	36	24	26	34	29	30
ENSG00000259124	chr14	76495363	76726712	-	231350	3	4	4	3	2	3	4	3	4
CYCSP1	chr14	76633714	76634028	+	315	0	0	0	0	0	0	0	0	0
RPSAP3	chr14	76634775	76635661	-	887	0	0	0	0	0	0	0	0	0
ENSG00000258566	chr14	76690139	76690742	-	604	0	0	0	0	0	0	0	0	0
VASH1-DT	chr14	76710658	76761388	-	50731	1	4	2	0	3	8	9	4	1
VASH1	chr14	76761468	76783015	+	21548	238	237	230	169	161	278	242	267	218
ENSG00000259081	chr14	76774284	76781518	-	7235	22	20	19	19	7	16	18	14	10
ENSG00000258610	chr14	76778952	76782249	+	3298	0	0	0	0	0	0	0	0	0
VASH1-AS1	chr14	76781733	76786724	-	4992	185	156	202	169	153	182	206	171	161
ANGEL1	chr14	76786009	76826246	-	40238	1278	1322	1330	1243	1375	1305	1388	1182	1325
ENSG00000286437	chr14	76790267	76793807	+	3541	0	0	1	0	0	0	0	0	0
LRRC74A	chr14	76826372	76870304	+	43933	0	0	0	0	0	1	0	0	0
RPL22P2	chr14	76886377	76886750	-	374	1	4	4	5	3	2	3	5	2
RN7SKP17	chr14	76890263	76890613	+	351	0	0	0	0	0	0	0	0	0
ENSG00000259058	chr14	76921840	76924649	-	2810	0	0	0	0	0	0	0	0	0
ENSG00000288762	chr14	76927972	76948760	-	20789	17	9	23	14	18	8	9	5	10
ENSG00000285966	chr14	76958098	77000609	-	42512	7	9	5	1	0	4	1	2	5
LINC01629	chr14	76959636	76965802	+	6167	0	0	0	0	0	0	0	0	0
RN7SL356P	chr14	76967518	76967765	-	248	0	0	0	0	0	0	0	0	0
ENSG00000243225	chr14	76968683	76969145	+	463	0	0	0	0	0	0	0	0	0
IRF2BPL	chr14	77024543	77028708	-	4166	3986	4130	4292	4408	4277	4269	4237	4414	4425
ENSG00000273729	chr14	77028086	77031572	+	3487	33	35	25	30	36	29	28	38	25
ENSG00000289347	chr14	77031562	77038743	-	7182	4	1	8	3	1	4	8	6	7
LINC02288	chr14	77041064	77069503	+	28440	0	1	0	1	0	0	3	0	0
ENSG00000258473	chr14	77048172	77086457	-	38286	3	2	0	1	0	0	0	1	2
LINC02289	chr14	77069169	77076392	-	7224	0	0	0	0	0	0	0	0	0
ENSG00000287004	chr14	77084689	77085977	+	1289	0	0	0	0	0	0	0	0	0
CIPC	chr14	77098126	77117287	+	19162	18	28	13	7	11	37	27	26	29
ENSG00000259164	chr14	77098311	77225462	+	127152	0	0	0	0	0	0	0	0	0
TMEM63C	chr14	77116568	77259495	+	142928	157	157	142	154	149	144	156	133	172
ZDHHC22	chr14	77131270	77142734	-	11465	2272	2175	2450	2482	2670	2585	2579	2097	2367
ENSG00000269883	chr14	77140683	77142996	+	2314	0	0	0	0	0	0	0	0	0
FAM204DP	chr14	77173075	77173652	-	578	0	0	0	0	0	0	0	0	0
ENSG00000201384	chr14	77201026	77201140	-	115	0	0	0	0	0	0	0	0	0
NGB	chr14	77265483	77271206	-	5724	12	16	15	22	20	18	22	24	15
MIR1260A	chr14	77266218	77266290	+	73	0	0	0	0	0	0	0	0	0
POMT2	chr14	77274956	77320883	-	45928	1120	1088	1047	989	1100	1062	1036	922	987
GSTZ1	chr14	77320996	77331597	+	10602	895	843	871	879	819	765	857	900	775
TMED8	chr14	77335029	77377094	-	42066	1090	1036	1003	950	976	1046	1262	949	950
ENSG00000258510	chr14	77359423	77359916	+	494	0	0	0	0	0	0	0	0	0
SAMD15	chr14	77376689	77392163	+	15475	36	42	46	31	56	60	30	67	30
NOXRED1	chr14	77394021	77423523	-	29503	22	11	14	9	13	12	16	14	22
VIPAS39	chr14	77426675	77457952	-	31278	747	741	781	731	710	764	794	776	726
AHSA1	chr14	77457870	77469472	+	11603	4656	4662	5124	4838	5060	4912	5305	4794	4850
ENSG00000212371	chr14	77466284	77466436	+	153	0	0	0	0	0	0	0	0	0
ISM2	chr14	77474394	77498816	-	24423	7	24	13	21	19	9	17	14	10
SPTLC2	chr14	77505997	77616637	-	110641	2492	2357	2474	2442	2632	2467	2670	2451	2667
RN7SL587P	chr14	77547566	77547846	-	281	0	0	0	0	0	0	0	0	0
COX6CP11	chr14	77652827	77653055	-	229	0	0	0	0	0	0	0	0	0
ALKBH1	chr14	77672404	77708023	-	35620	760	791	745	731	796	855	737	811	785
RPL21P10	chr14	77683202	77683989	-	788	0	0	0	0	0	0	0	0	0
ZMYND19P1	chr14	77696591	77697377	+	787	0	0	0	0	0	0	0	0	0
SLIRP	chr14	77708071	77761104	+	53034	2432	2565	2466	2325	2586	2499	2586	2339	2451
SNW1	chr14	77717599	77761207	-	43609	2878	2915	2974	2877	2900	2987	3211	2937	2909
C14orf178	chr14	77760834	77769742	+	8909	9	5	7	9	9	4	8	10	3
ADCK1	chr14	77800109	77935014	+	134906	372	384	367	397	358	339	378	360	383
FXNP1	chr14	78059942	78060278	-	337	0	0	0	0	0	0	0	0	0
NRXN3	chr14	78170373	79868291	+	1697919	127	96	101	89	119	108	93	121	96
RNA5SP388	chr14	78177803	78177921	-	119	0	0	0	0	0	0	0	0	0
RPS26P48	chr14	78231281	78231619	-	339	0	0	0	0	0	0	0	0	0
ENSG00000258723	chr14	78279572	78283376	-	3805	0	0	0	0	0	0	0	0	0
ENSG00000258719	chr14	78695321	78698122	-	2802	0	0	0	0	0	0	0	0	0
ENSG00000258874	chr14	78703615	78709934	-	6320	0	0	0	0	0	0	0	0	0
ENSG00000258478	chr14	78744398	78753878	-	9481	0	0	0	0	0	0	0	0	0
ENSG00000258829	chr14	79072132	79074767	-	2636	0	0	0	0	0	0	0	0	0
ENSG00000258419	chr14	79199982	79201632	+	1651	0	0	0	0	0	0	0	0	0
ENSG00000258662	chr14	79246668	79249023	-	2356	0	0	0	0	0	0	0	0	0
ENSG00000259106	chr14	79611418	79633311	-	21894	0	0	0	0	0	0	0	0	0
ENSG00000287118	chr14	79639754	79644431	-	4678	0	0	0	0	0	0	0	0	0
ENSG00000258637	chr14	79661666	79791263	-	129598	0	0	0	0	0	0	0	0	0
ENSG00000258416	chr14	79893080	79974169	-	81090	0	0	0	0	1	0	0	0	0
DIO2	chr14	80197526	80387757	-	190232	7	6	4	12	10	30	5	6	13
DIO2-AS1	chr14	80211419	80455469	+	244051	0	0	1	2	3	2	1	4	0
CEP128	chr14	80476983	80959517	-	482535	358	368	391	374	413	405	416	402	414
HMGN2P2	chr14	80822524	80822796	+	273	0	0	0	0	0	0	0	0	0
TSHR	chr14	80954989	81146306	+	191318	6	1	5	3	4	0	0	5	0
BHLHB9P1	chr14	80981988	80983638	+	1651	0	0	0	0	0	0	0	0	0
RPL17P3	chr14	81001166	81001786	-	621	0	0	0	0	0	0	0	0	0
ENSG00000271656	chr14	81003325	81003645	-	321	0	0	0	0	0	0	0	0	0
ENSG00000284959	chr14	81012099	81170429	-	158331	4	15	6	11	8	8	23	10	11
NMNAT1P1	chr14	81032529	81033404	+	876	0	0	0	0	0	0	0	0	0
ENSG00000286686	chr14	81169776	81175400	+	5625	1	4	9	2	2	2	3	4	3
GTF2A1	chr14	81175452	81221377	-	45926	3541	3228	3282	3128	3325	3174	3290	3432	3149
SNORA79	chr14	81202695	81202834	-	140	0	0	0	0	0	0	0	0	0
GTF2A1-AS1	chr14	81221218	81227694	+	6477	30	50	33	39	41	24	40	28	32
DYNLL1P1	chr14	81246295	81246563	-	269	1	3	2	4	1	3	2	1	2
UNGP3	chr14	81259565	81260239	-	675	5	2	0	9	2	1	2	0	0
STON2	chr14	81260652	81436465	-	175814	1574	1354	1520	1348	1524	1578	1338	1531	1204
ENSG00000242163	chr14	81332961	81333361	-	401	0	0	0	0	0	0	0	0	0
DYNLL1P2	chr14	81412970	81413239	+	270	0	0	0	0	0	0	1	0	0
LINC02308	chr14	81441987	81450371	-	8385	2	4	4	1	3	7	0	1	0
SEL1L	chr14	81471547	81533853	-	62307	1381	1394	1292	1361	1462	1358	1518	1410	1428
LINC01467	chr14	81605338	81623086	-	17749	0	2	0	0	0	0	0	1	0
EEF1A1P2	chr14	81661428	81662874	+	1447	0	0	0	0	0	0	0	0	0
LINC02311	chr14	81727780	81743749	-	15970	0	0	0	0	0	0	0	0	0
ENSG00000259035	chr14	81741002	82030349	+	289348	0	0	0	0	0	0	0	0	0
RPL9P6	chr14	81777016	81777613	-	598	0	0	0	0	0	0	0	0	0
EIF3LP1	chr14	81916231	81917888	+	1658	0	0	0	0	0	0	0	0	0
ENSG00000289442	chr14	81987403	82028779	-	41377	0	0	0	0	0	0	0	0	0
LINC02301	chr14	82642600	82746664	+	104065	7	7	0	0	0	22	0	0	16
ENSAP2	chr14	82692704	82693055	-	352	2	2	1	4	3	2	4	1	0
ENSG00000258683	chr14	82788478	82796221	-	7744	0	0	0	0	0	0	0	0	0
ENSG00000258600	chr14	83017106	83018144	-	1039	0	0	0	0	0	0	0	0	0
ENSG00000258426	chr14	83018201	83039602	-	21402	0	0	0	0	0	0	0	0	0
RNU7-51P	chr14	83048579	83048640	+	62	0	0	0	0	0	0	0	0	0
RNU6ATAC28P	chr14	83750384	83750501	+	118	0	0	0	0	0	0	0	0	0
ENSG00000258549	chr14	83805496	83805640	-	145	0	0	0	0	0	0	0	0	0
LINC02305	chr14	83903437	83915377	-	11941	0	0	0	0	0	0	0	0	0
ENSG00000285826	chr14	83986776	84140544	-	153769	0	0	0	0	0	0	0	0	0
MTND4P33	chr14	84172841	84173606	+	766	0	0	0	0	0	0	0	0	0
MTND5P35	chr14	84173791	84175510	+	1720	0	0	0	0	0	0	0	0	0
MTCYBP27	chr14	84176419	84177088	+	670	0	0	0	0	0	0	0	0	0
RNU6-976P	chr14	84739942	84740052	+	111	0	0	0	0	0	0	0	0	0
ENSG00000258506	chr14	84951274	84951373	+	100	0	0	0	0	0	0	0	0	0
ENSG00000271712	chr14	84998278	84999296	-	1019	0	0	0	0	0	0	0	0	0
ENSG00000259044	chr14	85202849	85239474	-	36626	0	0	0	0	0	0	0	0	0
ENSG00000258902	chr14	85362457	85516934	-	154478	0	0	0	0	0	0	0	0	0
LINC02329	chr14	85385927	85388765	+	2839	0	0	0	0	0	0	0	0	0
LINC00911	chr14	85393828	85420550	+	26723	0	0	0	0	0	0	0	0	0
ENSG00000258945	chr14	85516531	85529386	+	12856	2	0	0	0	0	0	0	0	0
FLRT2-AS1	chr14	85517967	85531660	-	13694	0	3	3	0	0	1	0	0	0
FLRT2	chr14	85530144	85654428	+	124285	363	344	251	203	281	347	198	300	212
LINC02328	chr14	85911438	86161539	+	250102	0	5	2	3	1	1	9	3	4
LINC02316	chr14	86006893	86062981	-	56089	0	0	0	1	0	3	0	0	0
ENSG00000286582	chr14	86283243	86304863	+	21621	0	0	0	0	1	0	0	0	0
LINC02309	chr14	86332376	86401285	+	68910	0	0	0	0	0	0	0	0	0
LINC01148	chr14	86905778	86922755	+	16978	0	0	0	0	0	0	0	0	0
ENSG00000259061	chr14	86936640	86989125	+	52486	0	0	0	0	0	0	0	0	0
ENSG00000258496	chr14	87251103	87251679	+	577	0	0	0	0	0	0	0	0	0
ENSG00000258958	chr14	87323753	87332390	+	8638	0	0	0	0	0	0	0	0	0
LINC02296	chr14	87353070	87573022	-	219953	3	1	1	0	0	3	0	2	2
ENSG00000259028	chr14	87568181	87569399	+	1219	0	0	0	0	0	0	0	0	0
LINC02330	chr14	87634379	87655294	-	20916	0	0	0	0	0	0	0	0	0
ENSG00000258807	chr14	87710419	87872291	-	161873	0	0	0	0	0	0	0	0	0
ENSG00000259077	chr14	87810982	87838339	+	27358	0	0	0	0	0	0	0	0	0
GALC	chr14	87837820	87993665	-	155846	610	589	602	555	517	584	559	563	533
SHLD2P2	chr14	87952527	87955203	+	2677	0	0	0	0	0	0	0	0	0
RNU6-835P	chr14	87996345	87996448	-	104	0	0	0	0	0	0	0	0	0
GPR65	chr14	88005135	88014811	+	9677	0	0	0	0	0	0	0	0	0
ENSG00000258407	chr14	88010787	88015611	-	4825	0	0	0	0	0	0	0	0	0
